concept_id,concept_name
4034964,Abnormal metabolic state due to diabetes mellitus
4321756,Acanthosis nigricans due to type 2 diabetes mellitus
36717156,Acidosis due to type 2 diabetes mellitus
43531588,Angina associated with type 2 diabetes mellitus
45769888,Ankle ulcer due to type 2 diabetes mellitus
4196141,Arthropathy due to type 2 diabetes mellitus
4175440,Autonomic neuropathy due to diabetes mellitus
37016768,Autonomic neuropathy due to type 2 diabetes mellitus
45763582,Blindness due to type 2 diabetes mellitus
4019513,Brittle diabetes mellitus
40483315,Brittle type 2 diabetes mellitus
376979,Cataract due to diabetes mellitus
4221495,Cataract due to diabetes mellitus type 2
43531578,Chronic kidney disease due to type 2 diabetes mellitus
43531559,Chronic kidney disease stage 1 due to type 2 diabetes mellitus
43531566,Chronic kidney disease stage 2 due to type 2 diabetes mellitus
43531653,Chronic kidney disease stage 3 due to type 2 diabetes mellitus
43531577,Chronic kidney disease stage 4 due to type 2 diabetes mellitus
43531562,Chronic kidney disease stage 5 due to type 2 diabetes mellitus
443735,Coma due to diabetes mellitus
442793,Complication due to diabetes mellitus
37309630,Coronary artery disease due to type 2 diabetes mellitus
35626762,Cranial nerve palsy due to diabetes mellitus
45769894,Cranial nerve palsy due to type 2 diabetes mellitus
43531616,Dermopathy due to type 2 diabetes mellitus
201820,Diabetes mellitus
45766050,Diabetes mellitus in remission
45757474,Diabetes mellitus type 2 without retinopathy
36684827,Diabetes mellitus type 2 with periodontal disease
4008576,Diabetes mellitus without complication
4033942,Diabetic dermopathy
4159742,Diabetic foot ulcer
4016045,Diabetic - good control
4114426,Diabetic hand syndrome
37018912,Diabetic hand syndrome due to type 2 diabetes mellitus
443727,Diabetic ketoacidosis
4009303,Diabetic ketoacidosis without coma
4048028,Diabetic mononeuropathy
4311708,Diabetic peripheral neuropathy
443238,Diabetic - poor control
443732,Disorder due to type 2 diabetes mellitus
43531597,Disorder due to well controlled type 2 diabetes mellitus
443767,Disorder of eye due to diabetes mellitus
443733,Disorder of eye due to type 2 diabetes mellitus
192279,Disorder of kidney due to diabetes mellitus
443730,Disorder of nervous system due to diabetes mellitus
376065,Disorder of nervous system due to type 2 diabetes mellitus
4082346,Disorder of soft tissue due to diabetes mellitus
43531564,Dyslipidemia due to type 2 diabetes mellitus
45757280,Dyslipidemia with high density lipoprotein below reference range and triglyceride above reference range due to type 2 diabetes mellitus
45769906,End stage renal disease on dialysis due to type 2 diabetes mellitus
4223463,Exudative maculopathy due to type 2 diabetes mellitus
43530690,Foot ulcer due to type 2 diabetes mellitus
4226354,Gangrene due to diabetes mellitus
4222876,Gangrene due to type 2 diabetes mellitus
37017430,Gastroparesis due to diabetes mellitus
37018728,Gastroparesis due to type 2 diabetes mellitus
45772019,Glaucoma due to type 2 diabetes mellitus
37311673,Hyperglycemia due to diabetes mellitus
37016349,Hyperglycemia due to type 2 diabetes mellitus
45770880,Hyperlipidemia due to type 2 diabetes mellitus
4226238,Hyperosmolar coma due to diabetes mellitus
201530,Hyperosmolar coma due to type 2 diabetes mellitus
4147719,Hyperosmolar non-ketotic state due to diabetes mellitus
4215719,Hyperosmolar non-ketotic state due to type 2 diabetes mellitus
45757392,Hypertension concurrent and due to end stage renal disease on dialysis due to type 2 diabetes mellitus
45771064,Hypertension in chronic kidney disease due to type 2 diabetes mellitus
45757447,Hypertension in chronic kidney disease stage 2 due to type 2 diabetes mellitus
45757446,Hypertension in chronic kidney disease stage 3 due to type 2 diabetes mellitus
45757445,Hypertension in chronic kidney disease stage 4 due to type 2 diabetes mellitus
45757444,Hypertension in chronic kidney disease stage 5 due to type 2 diabetes mellitus
4029423,Hypoglycemia due to diabetes mellitus
45757363,Hypoglycemia due to type 2 diabetes mellitus
45772060,Hypoglycemia unawareness due to type 2 diabetes mellitus
4226798,Hypoglycemic coma due to diabetes mellitus
36714116,Hypoglycemic coma due to type 2 diabetes mellitus
45769875,Insulin reactive hypoglycemia due to type 2 diabetes mellitus
4130162,Insulin treated type 2 diabetes mellitus
35626905,Ischemia of retina due to diabetes mellitus
45757075,Ischemia of retina due to type 2 diabetes mellitus
765375,Ischemic ankle ulcer due to diabetes mellitus type 2
4063569,Ischemic ulcer of foot due to diabetes mellitus
45771072,Ischemic ulcer of foot due to type 2 diabetes mellitus
443734,Ketoacidosis due to type 2 diabetes mellitus
4095288,Ketoacidotic coma due to diabetes mellitus
4228443,Ketoacidotic coma due to type 2 diabetes mellitus
4016047,Loss of hypoglycemic warning due to diabetes mellitus
4191611,Lumbosacral radiculoplexus neuropathy due to diabetes mellitus
4140466,Lumbosacral radiculoplexus neuropathy due to type 2 diabetes mellitus
45770830,Macular edema and retinopathy due to type 2 diabetes mellitus
380097,Macular edema due to diabetes mellitus
35626070,Macular edema due to type 2 diabetes mellitus
42536605,Metabolic acidosis due to diabetes mellitus
45769905,Microalbuminuria due to type 2 diabetes mellitus
4128221,Microalbuminuric diabetic nephropathy
378743,Mild nonproliferative retinopathy due to diabetes mellitus
45757435,Mild nonproliferative retinopathy due to type 2 diabetes mellitus
43531651,Mixed hyperlipidemia due to type 2 diabetes mellitus
377552,Moderate nonproliferative retinopathy due to diabetes mellitus
45770881,Moderate nonproliferative retinopathy due to type 2 diabetes mellitus
4222415,Mononeuropathy due to type 2 diabetes mellitus
4027121,Nephrotic syndrome due to diabetes mellitus
45769828,Nephrotic syndrome due to type 2 diabetes mellitus
760989,Neurogenic erectile dysfunction due to diabetes mellitus type 2
761063,Neuropathic ankle ulcer due to diabetes mellitus type 2
4114427,Neuropathic arthropathy due to diabetes mellitus
43531563,Neuropathic arthropathy due to type 2 diabetes mellitus
4065354,Neuropathic ulcer of foot due to diabetes mellitus
